0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:43 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:44 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:44 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:44 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:44 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:45 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:45 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:45 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:45 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:03 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:03 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:03 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:03 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:05 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:05 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:05 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:05 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:28 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:28 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:28 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:28 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:29 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:29 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:29:29 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
